be ;were ;been ;be;being;data/be.mp3
begin ;began ;begun ;bigan;bigun;data/begin.mp3
bring ;brought ;brought ;brang;brung;data/bring.mp3
build ;built ;built ;bild;bilden;data/build.mp3
buy ;bought ;bought ;been;be;data/buy.mp3
choose ;chose ;chosen ;chase;chasen;data/choose.mp3
come ;came ;come ;camen;comen;data/come.mp3
cut ;cut ;cut ;cat;cat;data/cut.mp3
do ;did ;done ;don;dan;data/do.mp3
drink ;drank ;drunk ;drinke;dranke;data/drink.mp3
drive ;drove ;driven ;drave;draven;data/drive.mp3
eat ;ate ;eaten ;ete;eten;data/eat.mp3
forget ;forgot ;forgotten ;forgat;forgatten;data/forget.mp3
get ;got ;got ;gote;gotten;data/get.mp3
give ;gave ;given ;gove;gaven;data/give.mp3
go ;went ;gone ;bee;been;data/go.mp3
have ;had ;had ;hate;haten;data/have.mp3
learn ;learnt ;learnt ;lern;lernet;data/learn.mp3
leave ;left ;left ;leften;laft;data/leave.mp3
meet ;met ;met ;meet;meten;data/meet.mp3
pay ;paid ;paid ;payd;payd;data/pay.mp3
read ;read ;read ;red;redden;data/read.mp3
say ;said ;said ;sayd;sayden;data/say.mp3
see ;saw ;seen ;saw;son;data/see.mp3
sell ;sold ;sold ;sellen;sollen;data/sell.mp3
show ;showed ;shown ;shew;shewn;data/show.mp3
sit ;sat ;sat ;saten;sotten;data/sit.mp3
speak ;spoke ;spoken ;spake;spaken;data/speak.mp3
take ;took ;taken ;tooken;taeken;data/take.mp3
write ;wrote ;written ;wrate;wratten;data/write.mp3
